IncidentNumber,CallType,CallDate,Zipcode,FinalPriority,UnitType,Delay
2003235,Structure Fire,01/11/2002,,3.0,TRUCK,2.95
2003241,Medical Incident,01/11/2002,94124.0,3.0,MEDIC,4.7
2003242,Medical Incident,01/11/2002,94102.0,3.0,MEDIC,2.4333334
2003250,Vehicle Fire,01/11/2002,94110.0,3.0,ENGINE,1.5
2003259,Alarms,01/11/2002,94109.0,3.0,CHIEF,3.4833333
2003279,Structure Fire,01/11/2002,94105.0,3.0,TRUCK,1.75
2003301,Alarms,01/11/2002,94112.0,3.0,ENGINE,2.7166667
2003304,Alarms,01/11/2002,94102.0,3.0,ENGINE,1.7833333
2003343,Medical Incident,01/11/2002,94115.0,3.0,ENGINE,1.5166667
2003348,Medical Incident,01/11/2002,94114.0,3.0,ENGINE,2.7666667
2003381,Medical Incident,01/11/2002,94110.0,2.0,MEDIC,2.1833334
2003382,Structure Fire,01/11/2002,94112.0,3.0,TRUCK,2.5
2003399,Medical Incident,01/11/2002,94109.0,3.0,ENGINE,2.4166667
2003403,Medical Incident,01/11/2002,94121.0,,ENGINE,4.95
2003408,Structure Fire,01/11/2002,94110.0,3.0,CHIEF,1.4166666
2003408,Structure Fire,01/11/2002,94110.0,3.0,CHIEF,2.5333333
2003408,Structure Fire,01/11/2002,94110.0,3.0,ENGINE,1.8833333
2003409,Medical Incident,01/11/2002,94116.0,3.0,RESCUE CAPTAIN,5.35
2003417,Medical Incident,01/11/2002,94118.0,3.0,ENGINE,2.0
2003417,Medical Incident,01/11/2002,94118.0,3.0,MEDIC,1.8166667
2003429,Odor (Strange / Unknown),01/11/2002,94114.0,,TRUCK,2.0833333
2003435,Medical Incident,01/11/2002,94133.0,2.0,MEDIC,4.4666667
2003453,Alarms,01/11/2002,94131.0,3.0,CHIEF,1.8
2003497,Structure Fire,01/11/2002,94109.0,3.0,CHIEF,2.5666666
2003500,Medical Incident,01/11/2002,94111.0,3.0,MEDIC,3.8833334
2003529,Medical Incident,01/11/2002,94132.0,3.0,TRUCK,3.3
2003550,Medical Incident,01/12/2002,94134.0,3.0,ENGINE,3.1
